år," event"," slutsats"
,Teknikprogrammet - christofferpholhem,"Gymnasiet var inte särskilt svår, var en typisk smart/lat indevid som inte pluggade till prov men ofta"
6 månader,max hamburgeri,"som restaurang biträde, var en värdefull erfaranhet, men inte någon branch jag skulle vilja vända mig tillbaka till."
1 år,kth - Data,"Då jag inte avslutade utbildningen fick jag bara ett smakprov vad som behövdes av mig som datalog, jag kom ändå att uppskatta det matematiska tänkadet och hur det kan apliseras på problem man stöter på i vardagen. till exempel kom jag att ha användning för linjär algebra samt en smula differential ekvationer längre fram i framtiden vilket man för stunden inte förstog hur det skulle hjälpa än i ens vardagsarbete som datalog."
2 år,Leva Kungslador - kassa personal,"Service kommer mig lätt, att vara kvick vad gällande huvudräkning samt att kunna svara på frågor på ett vänligt och informativt sätt passar mig bra"
,,
,Leva Kungslador - Detalförsäljnings personal,"fick möjlighet att nyttja mina kunskaper i Excel( Google sheets ) för både inventering och konstnadsberäkningar, det var dessutom intressant att utforma productions processer för ökad effektivitet och lönsamhet."
1 år,Leva Kungslador - Restaurang perosnal,"kundbemötande är A och O i servitrisbranchen, och du utsätts dessutom hälsosamma mängder stress samt något fysiskt arbete. "
"2018-10 "," 1 regionen","började som en ganska enkel administratör, fick i upgift att sammla in och slutföra ärenden som handledarna skikat ut och nu inkommit med slutgiltiga ägarupgifter. men fick även insikt i klart vatten projektets förundersökningsarbete vilket skädde mot den dåvarande ganska enkla gis databasen som de själva byggt upp under åren. tog intresse i de verktyg som användes för att komunisera med denna detta var möjligt tack vare att jag fick sitta i samma rum som den handläggare som för tillfället var ansvarig för utsökningarna, och han var villig att lära upp mig för att slippa ansvaret själv, kom efter en tid fram med ett verktyg för att automatisera utsökningsmetoden, har förbättrat och omformat denna till andra "
"2019-10 "," 2 regionen",
"2020-10 "," 3 regionen","Insatt i ett par tre olika projekt, övergång från vår gammal gisdatabas"
2021-10-idag," år 4 regionen","korona satta käppar i hjulenb på de flästa projhekten jag hade uppe då spontan dialog inte längre vart möjlig, men jag har tagit möjligheten att förbättra min förståelse för Pascal och server miljöer - och "